story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc
56.0,Sister Sue,"Story about a young boy who peeps in on his sister and husband ""playing"" and the torments that follow.",40028.0,8.0,3.0,25087,35.0,Ed,"Jul 25, 2000","['M/f', 'BDSM', 'Serious']",0.0,0.0
57.0,YinBin,Story still being worked on. Heavy incest and Femdom.,29303.0,6.5,3.0,38332,35.0,Ed,"Jul 25, 2000","['F/m', 'incest', 'Serious']",0.0,0.0
58.0,Slave Wife,The wifes husand goes out of town. When he returns he sees that she is a slave to their friend. He enslaves them both and has some fun.,23077.0,6.5,5.0,43331,39.0,Louis Markham,"Jul 27, 2000","['M/f+', 'BDSM', 'bondage', 'Serious']",0.0,0.0
59.0,Manx,David's father left him 150 million dollars but he has to be a good boy to his young stepmother. And she made him obey her every order.,271841.0,6.5,4.0,130937,40.0,Kanashin,"Jul 27, 2000","['F/f', 'F/m', 'F+/m', 'BDSM', 'nc', 'Serious']",0.0,1.0
60.0,Sex Slave Sorority Sisters,Innocent girl was brought to join the Sorority Sisters and became everyone's play thing. No hard BDSM scene.,106166.0,4.5,4.0,36750,41.0,Shvedjerry,"Jul 29, 2000","['F/f', 'MF/f', 'Serious']",0.0,0.0
61.0,The humiliating training of Emma,A grown woman is humiliated beyond belief by her best friend's teenage boyfriend and finds she craves more.,72747.0,8.5,41.0,243739,42.0,Emma No knickers,"Jul 31, 2000","['MF/f', 'BDSM', 'humiliation', 'Serious']",0.0,0.0
62.0,Black Roommate,Sandra's black roommate fought back and took the control position. Lesbian feet worship story.,49299.0,5.0,5.0,35806,43.0,PK,"Aug 2, 2000","['F/f', 'feet', 'nc', 'Serious']",0.0,1.0
63.0,Sex Slave Mother,This is a story about a beautiful young mother trained by her own thirteen and twelve-year-old sons to be their sex and breed slave.,298704.0,6.5,30.0,332189,45.0,King,"Aug 3, 2000","['M/f', 'incest', 'BDSM', 'Serious']",0.0,0.0
64.0,My Inheritance,"A little of everything. No SM or any hard stuff, though. This is a story of a young college graduate who inherits 3,000 sex slaves, $20,000,000 and a treasure hunt.  Two of the slaves are Andy and Mary, very special women indeed.",762399.0,9.0,14.0,142581,44.0,E.Z. Riter,"Aug 3, 2000","['M/f+', 'incest', 'mc', 'Serious']",0.0,0.0
65.0,Resort Bondage,A stuck up rich daddy's girl finally gets what she deserves while on vacation at a tropical resort island.,40340.0,7.0,4.0,42918,46.0,Sampson,"Aug 5, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
66.0,Dawns Dillema,Dawn is submissive and has the hots for her math professor. She ends up teaching him a few things!,25225.0,6.5,5.0,20429,40.0,Kanashin,"Aug 5, 2000","['M/f', 'D/s', 'consensual', 'Serious']",0.0,0.0
67.0,Possession,The special perfume Possession made her into a sexual frenzy and the video of her having sex with a group of men was used to blackmail her to do some sexual show in public.,50236.0,6.0,5.0,26652,47.0,Anchor,"Aug 7, 2000","['exhibition', 'D/s', 'blackmail', 'nc', 'Serious']",0.0,1.0
68.0,Adventures in Medical,Story about female medical practitioners taking advantage of male. He was humilated and used by nurses and female doctors during various medical examination.,117374.0,8.0,4.0,67314,48.0,Quicksilver-Iota,"Aug 7, 2000","['F+/m', 'humiliation', 'Serious']",0.0,0.0
69.0,The Visitors,A twisty tale of the humiliation of a husband and wife by intruders who are much more than they first appear to be.,276799.0,8.5,4.0,60333,49.0,QuantumLeap,"Aug 7, 2000","['M/f', 'bondage', 'gothic', 'humiliation', 'nc', 'Serious']",0.0,1.0
70.0,Jackstraw,Ambitious husband Jack takes his young wife for granted with terrifying results.,28340.0,7.5,2.0,12584,49.0,QuantumLeap,"Aug 7, 2000","['M/f', 'bondage', 'ScFi', 'Serious']",0.0,0.0
71.0,The Return,Lovely blond returns to the man  she loves and finally gives in to her deep need for submission and sex.,110658.0,7.0,2.0,46552,50.0,Traveler,"Aug 9, 2000","['M/f', 'F/f', 'F/f+', 'D/s', 'B/D', 'Serious']",0.0,0.0
72.0,The Ad,"Jim Bradson answers a personals type ad, meets the lovely and submissive Samantha. Together, they explore each other's sexuality through bondage and S&M. Their love for each other grows during two camping trips, the second, a canoe trip through the wilderness with Samantha chained hand and foot. A wedding, meeting some interesting people, the story concludes with the birth of their first child.",681792.0,10.0,17.0,108154,11.0,Dino Dave,"Aug 9, 2000","['M/f', 'pregnant', 'BDSM', 'romantic', 'Serious']",0.0,0.0
73.0,The Adventures Of Terry & Jennifer,A girl's self-bondage secret was discovered by her best girl friend and then they both had some bondage fun.,403425.0,7.5,8.0,167706,54.0,Terri,"Aug 11, 2000","['F/f', 'f-self', 'bondage', 'Serious']",0.0,0.0
74.0,Slave Prissy,Slave Prissy's story about her session on a weekend with her 3 masters and a new slave girl.,19649.0,5.0,1.0,22198,51.0,pki,"Aug 11, 2000","['M+/f+', 'S/M', 'nc', 'Serious']",0.0,1.0
75.0,Roissy Society,"An erotic story author met one of his female readers and was introduced to the ""Roissy Society"", a secret women D/s club, where his wildest fantasy dreams became true.",196025.0,7.0,4.0,,52.0,Mike Dee,"Aug 12, 2000","['M/f', 'F/f', 'BDSM', 'Serious']",0.0,0.0
76.0,To Catch a Smuggler,"In order to catch the weapons smuggler, she, an FBI agent, had to become his willing slave. She found she loved this lifestyle.",185055.0,9.0,8.0,42506,53.0,BlueWords,"Aug 12, 2000","['M/f', 'bondage', 'Serious']",0.0,0.0
77.0,The Trophy Wife,Unfaithful wife and her boyfriend planned to kill her rich husband. Their conspiracy was found out and she was captured and kept as a slave girl. Unfaithful wife got what she deserved.,725119.0,9.0,9.0,110906,55.0,Special Kwa,"Aug 14, 2000","['M/f', 'M/f+', 'D/s', 'S/M', 'nc', 'Serious']",0.0,1.0
78.0,Torture Botique,"She went to a fashion house just for some new clothes, but ended as a bound slave of a sex club and serving the customers.",79240.0,6.0,6.0,73700,56.0,Paladin,"Aug 14, 2000","['MF/f', 'S/M', 'nc', 'Serious']",0.0,1.0
79.0,Amy's Shame,Her misdeed in the bussiness was caught by her rival. She was kept as the plaything for her mistress.,104680.0,9.0,15.0,92638,57.0,Ginny and Amy,"Aug 14, 2000","['F+/f', 'D/s', 'Serious']",0.0,0.0
80.0,The Atonement,"She killed a man in a car accident and ran away. The only witness, her best friend, seduced her hunsband and together made her their little slave.",404685.0,9.5,23.0,,58.0,Racecar,"Aug 14, 2000","['MF/f', 'D/s', 'Serious']",0.0,0.0
81.0,Wrath,Two women find themselves in a bind when a stranger makes himself at home.  A work in progress.,90647.0,8.5,6.0,54954,37.0,T.S.Fesseln,"Aug 25, 2000","['M/f+', 'B/D', 'S/M', 'humiliation', 'nc', 'Serious']",0.0,1.0
82.0,The Summer Project,A brother-in-law gets the chance of his dreams when his father and stepmother go on vacation and he gets to turn his stepsister into a slave.  A work in progress.,429853.0,8.5,9.0,224310,37.0,T.S.Fesseln,"Aug 25, 2000","['M/f', 'incest', 'BDSM', 'bondage', 'humiliation', 'nc', 'Serious']",0.0,1.0
83.0,Working on Dawn,"Dawn and her husband had gotten involved with a charismatic rogue known as ""the Mechanic"" He in turn involved them in various of his plots and schemes and soon his enemies saw them as a way to get to the ""Mechanic"". Dawn was abducted from the street and taken to a warehouse where she is interrogated.",53616.0,9.0,3.0,39357,59.0,Tom Roper,"Aug 25, 2000","['M/f', 'BDSM', 'torture', 'Serious']",0.0,0.0
84.0,Sorority Sex Slave,"She had thought she was experienced sexually...open-minded. Then she was introduced to whole new realms of sensory experience, and taught the joys of complete submissivness.",187721.0,8.0,6.0,73210,60.0,Dark Dreamer,"Aug 27, 2000","['M/f', 'F+/f', 'B/D', 'S/M', 'consensual', 'Serious']",0.0,0.0
85.0,The Hospital,"She was in a hospital, captured, bound helpless, hypnotized, waiting for any treatment that the doctors and nurses wanted to give her.",183126.0,6.0,7.0,69731,61.0,Anonymyte,"Aug 27, 2000","['MF/f', 'S/M', 'nc', 'Serious']",0.0,1.0
86.0,The Starlet Slave,"A college girl is being sexually abused and used by a college fraternity. She escapes & is picked up by a cop who gets her to tell her whole life story, at least the sexual part. She starts off telling about what the fraternity boys were forcing her to do and then goes back to high school, where she was tricked into shop lifting, and is then blackmailed into sexual slavery by the shop owner. He forces her into prostitution, renting her out to deviats and sadists. In between she is basically forced to walk around in t-shirts, advertising this guys business, and she isn't allowed to wear a bra underneath. Lots of toys and BDSM!",103353.0,6.0,4.0,83650,29.0,Exacting Master,"Aug 28, 2000","['M+/f', 'F/f', 'humiliation', 'nc', 'Serious']",0.0,1.0
87.0,Playing With Yvette,"Mothers, respectable women, ladies. That&#8217;s how others saw them, to him, they were all just sluts. He humiliated them, tortured them and used their bodies for his own perverse pleasures; and the women came back for more. They would never learn to enjoy what he did with them, but they had to learn to endure it.",143030.0,8.5,17.0,84572,16.0,Just Another Bloke,"Aug 28, 2000","['M/f', 'spanking', 'D/s', 'Serious']",0.0,0.0
88.0,Released,It is the story of a sub who has her limits tested and fantasies fulfilled.,12224.0,3.5,2.0,10073,62.0,Mariah H.,"Sep 2, 2000","['M/f', 'BDSM', 'romantic', 'Serious']",0.0,0.0
90.0,Teaching Sissy Emily,Goddess Dianna Vesta teaches her sissy slave a lesson.,8018.0,5.0,2.0,28223,63.0,Dianna Vesta,"Sep 2, 2000","['F/m', 'spanking', 'transvestite', 'BDSM', 'Serious']",0.0,0.0
91.0,The Art of Adoration,An article about the art of adoring a woman femdom style.,20625.0,6.0,3.0,18427,63.0,Dianna Vesta,"Sep 2, 2000","['F/m', 'feet', 'bondage', 'Serious']",0.0,0.0
92.0,Jenny's Slavery Chain,Poor imprisoned Jenny must endure a unique and painful addition to her beautiful body's jewelry collection.,7030.0,5.5,13.0,61624,27.0,MrBondskin,"Sep 6, 2000","['M/f', 'modification', 'BDSM', 'torture', 'nc', 'Serious']",0.0,1.0
