story_id,story_name,synopsis,length,rating,n_votes,total_readers,author_id,author,added_on,codes,slavery,nc,gay,link
1772.0,Lost for Words,"Amy is a writer, crafting stories of young and beautiful women, helplessly enslaved and tortured. When she comes down with writers' block, her biggest fan offers advice, and a very special way to give Amy some inspiration, although the beautiful young writer may not appreciate it fully...",48743.0,9.5,12.0,30354,385,sarijak,"Jul 4, 2003","['F/f', 'F+/f', 'interracial', 'D/s', 'B/D', 'slavery', 'reluctant', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=1772.0
2588.0,Hanging For The Weekend,"When Kirsten decides to start a quiet weekend alone by hanging by her wrists in the garage, things quickly go wrong - and get much worse when company arrives.",52337.0,9.5,21.0,71758,906,Kirsten Smart,"Jun 6, 2004","['M/f', 'f-self', 'S/M', 'bondage', 'consensual', 'torture', 'nc']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2588.0
814.0,Parker 19: Blackout,A power outtage on a subway ride proves to be a life changing experience for a young lawyer.,29900.0,9.5,4.0,28890,251,Parker,"Mar 14, 2002","['M+/f', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=814.0
731.0,All Good Fun,"Josh, a serial rapist, details his exploits while planning his next attack.",13284.0,9.5,7.0,51174,333,Kallie Thomas,"Feb 5, 2002","['M/f', 'lactation', 'pregnant', 'teen', 'bondage', 'real', 'humiliation', 'torture', 'nc', 'Hardcore', 'violent']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=731.0
720.0,College Submission,"Jackie had been eagerly awaiting this weekend for awhile now.  With the college community heading home (or to Florida) for Spring Break, she decided to use this new-found privacy to engage in a thorough self-bondage session... that is, until her best-friend/roommate catches her...",111742.0,9.5,24.0,97706,345,Da'Rookie22,"Feb 1, 2002","['F/f', 'spanking', 'teen', 'toys', 'D/s', 'BDSM', 'bondage', 'college', 'reluctant', 'humiliation', 'blackmail', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=720.0
2420.0,"Avatar, Book 1:  Establishment",This story is about a man who becomes an Avatar for a sex goddess.,1415758.0,9.5,29.0,163047,1000,Dark Pen,"Apr 5, 2004","['M/f+', 'F+/f+', 'Young', 'teen', 'WaterSport', 'BDSM', 'slavery', 'ScFi', 'consensual', 'humiliation', 'Heavy']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2420.0
702.0,Training Grounds,It's about a salve going to traing academy.,32185.0,9.5,3.0,36565,334,Mystery man,"Jan 25, 2002","['M/f', 'M+/f+', 'F/f', 'F+/m+', 'exhibition', 'spanking', 'toys', 'B/D', 'S/M', 'BDSM', 'slavery', 'bondage', 'humiliation', 'torture', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=702.0
682.0,Sunder,"This is a very long, dark tale that bounces around between many characters. There are 3 heirs to a major privately held corporation, for which their father split into 3 divisions, one for each child, but allowing for 1 of them to end up in control of the entire company. All three are very dominant and have many sexual perversions. You don't want to get on the bad side, as death would be preferable to what they will do to you. They act as if they are above the law as well as above anyone questioning their actions. All three are very dominant both in their public & private lives. All engage in sex with their employees as well as those unfortunate to be captured by this hauty trio. Very erotic and sadistic.",533269.0,9.5,12.0,117697,30,Unknown,"Jan 16, 2002","['M/f', 'F/f', 'F+/f', 'F+/f+', 'F/m', 'f-self', 'MF/f', 'exhibition', 'fisting', 'modification', 'pregnant', 'scatology', 'size', 'snuff', 'spanking', 'teen', 'voyeurism', 'WaterSport', 'BDSM', 'slavery', 'bondage', 'gothic', 'job', 'real', 'reluctant', 'humiliation', 'blackmail', 'torture', 'nc', 'Heavy', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=682.0
2677.0,Macros Story,"This is a sequel, or maybe a prequel to my story, Jills Day Out.",25130.0,9.5,11.0,50373,1092,Jill Bird,"Jul 2, 2004","['M/f', 'bestiality', 'B/D', 'BDSM', 'slavery', 'bondage', 'real', 'humiliation', 'blackmail', 'torture', 'nc', 'Extreme', 'violent']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2677.0
2665.0,Farm Call,"a young woman enjoys her job as a sales rep for an agricultural company, until she visits a very strange farm.",12232.0,9.5,23.0,87944,1092,Jill Bird,"Jun 29, 2004","['bestiality', 'S/M', 'job', 'nc', 'Extreme']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2665.0
367.0,Chateau Noir,His uncle was a sponsor to a private discipline school and he was sent to this school to meet the head mistress. This was definately an unexpected and exciting experience for him.,253107.0,9.5,8.0,72785,196,Frank Watson,"Jun 4, 2001","['M/f', 'F/f+', 'BDSM', 'slavery', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=367.0
156.0,The Princess's Court,"A tale of punishments set in a fantasy world. A wicked Princess, a victimized Princess, and an honorable soldier.",156195.0,9.5,7.0,42457,102,ArcSyn,"Dec 6, 2000","['F/f', 'F/m', 'exhibition', 'spanking', 'D/s', 'B/D', 'ScFi', 'romantic', 'humiliation', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=156.0
467.0,Dawn's Story,Aliens (who look more-or-less human) come to Earth and 'de-evolve' selected people to their natural state to serve as slaves.  Story follows the adventures of a particular slave and her loving mistress.,170998.0,9.5,5.0,38940,30,Unknown,"Aug 22, 2001","['M/f', 'M+/f', 'F/f', 'F+/f', 'exhibition', 'modification', 'D/s', 'BDSM', 'slavery', 'ScFi', 'consensual', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=467.0
297.0,Coming of Age,The girls in the Martin family undergo a very special ritual among the town members when they reach womanhood...,30223.0,9.5,12.0,64780,26,Terri Madison,"May 7, 2001","['M+/f', 'M+/f+', 'F/f', 'fisting', 'incest', 'BDSM', 'slavery', 'bondage', 'humiliation', 'torture', 'nc', 'Heavy']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=297.0
2589.0,The Long Road to Slavery,"Bored with her life, Jenny decides to liven things up a bit.  A strange one-night stand and a pilfered video open her mind to an entirely new existence as a slave.",114969.0,9.5,10.0,64849,1074,Simone Locke,"Jun 6, 2004","['M+/f+', 'enema', 'lactation', 'spanking', 'BDSM', 'slavery', 'bondage', 'real', 'humiliation', 'nc', 'Heavy']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2589.0
2609.0,Rita's Department Store Adventure,"Rita Donovan, an arrogant 24-year-old sophisticate, is victimized by a thief, runs afoul of a sales girl and others, and is reduced to the status of a spanked and diapered child in a school uniform by the slightly younger woman AND a host of intimidating memories.  Will she sink or swim?",95660.0,9.5,6.0,51945,1084,Alec Leamus,"Jun 12, 2004","['MF/f', 'spanking', 'voyeurism', 'D/s', 'humiliation', 'nc']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2609.0
2455.0,FutureDomme,"A femdom vacation gets caught up in law changes and contractual fine print.  In a much changed society, even more is in store for our hero(in).",499352.0,9.5,4.0,60950,1016,counterparts199,"Apr 18, 2004","['F/m', 'F/m+', 'modification', 'transgender', 'D/s', 'S/M', 'slavery', 'chastitybelt', 'consensual', 'reluctant', 'humiliation', 'torture', 'Heavy']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2455.0
269.0,"Mock Rape, Inc.","Malcolm finds the perfect niche business, only to discover he has a competitor.",80180.0,9.5,12.0,77524,148,Harold,"Apr 16, 2001","['M+/f+', 'spanking', 'BDSM', 'job', 'consensual', 'reluctant', 'humiliation', 'blackmail', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=269.0
283.0,Letter From a Strict Mom,A schoolgirl with bad marks receives very strict extra tuition on a cruel.,104768.0,9.5,10.0,86291,164,Max Smart,"Apr 24, 2001","['MF/f', 'spanking', 'teen', 'S/M', 'HighSchool', 'real', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=283.0
575.0,Children Of The Night,A romantic bdsm story about how a normal girl was trained to be her master's slavegirl.,603690.0,9.5,4.0,67913,291,Veronica Leigh Marquette,"Nov 15, 2001","['M/f', 'M/f+', 'F/m+', 'spanking', 'toys', 'BDSM', 'slavery', 'romantic', 'reluctant', 'humiliation', 'Light']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=575.0
552.0,Daddy's Little Girl,"A young, vulnerable girl, is caught masturbating by her Daddy, and he takes it upon himself to teach her what little girls who masturbate deserve.",361.0,9.5,8.0,81257,281,Humiliator,"Oct 31, 2001","['M/f', 'f-self', 'incest', 'Young', 'teen', 'D/s', 'slavery', 'reluctant', 'humiliation', 'nc', 'Hardcore']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=552.0
530.0,Fate,"A psychological story dealing with revenge, love, lesbian sex and S&M. The plot line is such that there are really three stories in one. This is a first for me, so I hope I can pull it off without boring the readed to tears or making it sound to hokey. It is also a colaborated story that seems to be working out pretty well, all be it that I am as slow as molasis in writing it.",172690.0,9.5,3.0,45678,269,Mistress Jytte and Musker,"Oct 12, 2001","['F+/f+', 'interracial', 'modification', 'BDSM', 'college', 'humiliation', 'blackmail', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=530.0
522.0,Arranged Marriages,Hoping to avoid bankruptcy Elizabeth's parents force her to spend a week with Aaron at a remote cottage. They instruct her to seduce him into marrying her but things don't go according to plan.,67177.0,9.5,4.0,40951,252,obohobo,"Oct 10, 2001","['M+/f+', 'spanking', 'BDSM', 'real', 'nc', 'Serious']",0.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=522.0
2606.0,Juicy Lucy's Grand Jete,An aspiring young ballerina follows her dream into the clutches of the evil Dame Vera Mann....more sex than violence in this one ...and will probably be too restrained for some...Men are highly incidental in this story.,71224.0,9.5,8.0,37917,1012,Estaban Bacca,"Jun 12, 2004","['MF/f', 'exhibition', 'spanking', 'D/s', 'BDSM', 'slavery', 'humiliation', 'blackmail', 'nc', 'Serious']",1.0,1.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=2606.0
289.0,The Suit,"A young woman suddenly finds herself entrapped in an inescapeable suit with special features. The thing is controlling her whole life. She has to endure it for over a year, but finally it comes to a good end.",551025.0,9.5,8.0,100306,171,Don Quixote,"Apr 29, 2001","['M+/f', 'exhibition', 'modification', 'D/s', 'slavery', 'reluctant', 'humiliation', 'Serious']",1.0,0.0,False,https://www.bdsmlibrary.com/stories/story.php?storyid=289.0
